pool_depth,delta_s_frac,user_regime,arb_mode,breach_prob,capital_required,total_cost,expected_profit,net_profit,roi_percent,profit_margin_percent,economically_viable
5000000,0.1,Panic,Slow,0.0,500000.0,501664.38356164383,0,-501664.38356164383,-100.33287671232875,-100,False
10000000,0.005,Normal,Fast,0.0,50000.0,50165.136986301375,0,-50165.136986301375,-100.33027397260274,-100,False
10000000,0.005,Normal,Moderate,0.0,50000.0,50165.136986301375,0,-50165.136986301375,-100.33027397260274,-100,False
10000000,0.005,Normal,Slow,0.0,50000.0,50165.136986301375,0,-50165.136986301375,-100.33027397260274,-100,False
10000000,0.005,Panic,Fast,0.0,50000.0,50165.136986301375,0,-50165.136986301375,-100.33027397260274,-100,False
10000000,0.005,Panic,Moderate,0.0,50000.0,50165.136986301375,0,-50165.136986301375,-100.33027397260274,-100,False
10000000,0.005,Panic,Slow,0.0,50000.0,50165.136986301375,0,-50165.136986301375,-100.33027397260274,-100,False
10000000,0.01,Normal,Fast,0.0,100000.0,100330.41095890412,0,-100330.41095890412,-100.33041095890411,-100,False
10000000,0.01,Normal,Moderate,0.0,100000.0,100330.41095890412,0,-100330.41095890412,-100.33041095890411,-100,False
10000000,0.01,Normal,Slow,0.0,100000.0,100330.41095890412,0,-100330.41095890412,-100.33041095890411,-100,False
10000000,0.01,Panic,Fast,0.0,100000.0,100330.41095890412,0,-100330.41095890412,-100.33041095890411,-100,False
10000000,0.01,Panic,Moderate,0.0,100000.0,100330.41095890412,0,-100330.41095890412,-100.33041095890411,-100,False
10000000,0.01,Panic,Slow,0.0,100000.0,100330.41095890412,0,-100330.41095890412,-100.33041095890411,-100,False
10000000,0.025,Normal,Fast,0.0,250000.0,250827.05479452055,0,-250827.05479452055,-100.33082191780822,-100,False
10000000,0.025,Normal,Moderate,0.0,250000.0,250827.05479452055,0,-250827.05479452055,-100.33082191780822,-100,False
10000000,0.025,Normal,Slow,0.0,250000.0,250827.05479452055,0,-250827.05479452055,-100.33082191780822,-100,False
10000000,0.025,Panic,Fast,0.0,250000.0,250827.05479452055,0,-250827.05479452055,-100.33082191780822,-100,False
10000000,0.025,Panic,Moderate,0.0,250000.0,250827.05479452055,0,-250827.05479452055,-100.33082191780822,-100,False
10000000,0.025,Panic,Slow,0.0,250000.0,250827.05479452055,0,-250827.05479452055,-100.33082191780822,-100,False
10000000,0.05,Normal,Fast,0.0,500000.0,501657.5342465754,0,-501657.5342465754,-100.33150684931506,-100,False
10000000,0.05,Normal,Moderate,0.0,500000.0,501657.5342465754,0,-501657.5342465754,-100.33150684931506,-100,False
10000000,0.05,Normal,Slow,0.0,500000.0,501657.5342465754,0,-501657.5342465754,-100.33150684931506,-100,False
10000000,0.05,Panic,Fast,0.0,500000.0,501657.5342465754,0,-501657.5342465754,-100.33150684931506,-100,False
10000000,0.05,Panic,Moderate,0.0,500000.0,501657.5342465754,0,-501657.5342465754,-100.33150684931506,-100,False
10000000,0.05,Panic,Slow,0.0,500000.0,501657.5342465754,0,-501657.5342465754,-100.33150684931506,-100,False
10000000,0.1,Normal,Fast,0.0,1000000.0,1003328.7671232877,0,-1003328.7671232877,-100.33287671232875,-100,False
10000000,0.1,Normal,Moderate,0.0,1000000.0,1003328.7671232877,0,-1003328.7671232877,-100.33287671232875,-100,False
10000000,0.1,Normal,Slow,0.0,1000000.0,1003328.7671232877,0,-1003328.7671232877,-100.33287671232875,-100,False
10000000,0.1,Panic,Fast,0.0,1000000.0,1003328.7671232877,0,-1003328.7671232877,-100.33287671232875,-100,False
10000000,0.1,Panic,Moderate,0.0,1000000.0,1003328.7671232877,0,-1003328.7671232877,-100.33287671232875,-100,False
10000000,0.1,Panic,Slow,0.0,1000000.0,1003328.7671232877,0,-1003328.7671232877,-100.33287671232875,-100,False
